"Simbiocity Beta (tik siuntų atsiėmimui)",Vilnius,"J. Balčikonio g. 3"
"PC Kalnėnai",Vilnius,"Estų g. 1"
"Kubas (Udrop)",Panevėžys,"Kniaudiškių g. 42"
"Senukai (Udrop)",Panevėžys,"Darbo a. 7"
"Čia Market",Vilnius,"S.Krasausko g. 1"
"IKI Draugystė",Klaipėda,"Debreceno g.54"
Maxima,Kaunas,"Vaidoto g.159"
Maxima,Maišiagala,"Mokyklos g.3"
"Amatų skveras",Vilnius,"Švitrigailos g.13"
Santaikos,Alytus,"Santaikos g. 30M"
Aibė,Kaišiadorys,"Vytauto Didžiojo g.35"
"IKI Ąžuolas",Vilnius,"Architektų g. 214"
Aibė,Kretinga,"Minijos g.1"
"Rimi (Udrop)",Kaunas,"V. Krėvės pr. 43"
"Rimi (Udrop)",Kaunas,"Baltijos g. 58"
"Rimi (Udrop)",Vilnius,"Senasis Ukmergės kl. 46A"
"Šilas (Udrop)",Kaunas,"V. Krėvės pr. 106 C"
"IKI (Udrop)",Vilnius,"Visalaukio g. 1"
"Norfa (Udrop)","Naujoji Akmenė","Respublikos g. 30A"
"IKI (Udrop)",Garliava,"S. Lozoraičio g. 2"
"Aibė (Udrop)",Klaipėda,"Žardininkų g. 27A"
"Aibė (Udrop)",Marijampolė,"Mokolų g. 23"
"Kubas (Udrop)",Šiauliai,"Draugystės pr. 14"
"Kubas (Udrop)",Šiauliai,"Aido g. 12"
"Šilas (Udrop)",Kaunas,"Lubinų g. 155"
"Norfa (Udrop)",Vilnius,"Ateities g. 10"
"Norfa (Udrop)",Lentvaris,"Klevų al. 4"
"Helios (Udrop)",Klaipėda,"Taikos pr. 56"
"Rimi (Udrop)",Alytus,"Ūdrijos g. 1"
"Domus Pro (Udrop)",Vilnius,"Ukmergės g. 308"
"Go9 (Udrop)",Vilnius,"Gedimino pr. 9"
Norfa,Telšiai,"Luokės g.91"
Maxima,Ginduliai,"Žalioji g. 36"
"Saurida degalinė",Vilnius,"Buivydiškių g.1a"
